uber	2
facebook	2	
google	2
amazon	2
linkedin	2
川崎工厂 nt 2
川报集团 nt 1
川报集团全媒体中心 nt 1
川污水处理厂 nt 1
川沙中学 nts 2
川沙南院 nt 6
川派出所 nt 2
川渝商会 nt 1
川渝收费站 nt 1
川湘菜馆 nt 1
川西文联 nt 1
川豪装饰公司 ntc 1
川高公司 nt 1
州人民政府 nt 1
州市党委 nt 1
州立大学 ntu 2
巡警一大队 nto 2
巡警一大队保通中队 nt 1
巡警大队 nto 17
巡警大队大队 nt 1
工业和信息化部中小企业发展促进中心 nt 1
工业和信息化部党组 nt 7
工业和信息化部办公厅 nt 1
工业和信息化部电信研究院 nt 2
工业和信息化部纪检组 nt 1
工业和信息化部软件司 nt 1
工业和信息化部通信发展司 nt 2
工业技术研究院 nt 2
工会办公室 nt 1
工作委员会 nto 59
工作委员会办公室 nt 6
工作委员会秘书组 nt 1
工作领导小组秘书组 nt 1
工信部党组 nt 2
工信部电信经济专家委员会 nt 1
工信部电子工业标准化信息安全研究中心 nt 1
工信部设备进网中心 nt 2
工商行政管理局 nto 3
工商银行 ntcb 81
工商银行营业部 nt 6
工程师协会 nt 1
工程建设指挥部办公室 nt 2
工行北京分行交易室 nt 1
工贸区管理委员会 nt 3
工银金融租赁有限公司 ntc 1
左泉洞村一组 nt 1
巨峰镇党委 nt 2
巨野林业局 nt 2
巨野林业局森保站 nt 1
巨龙造纸厂 nt 1
巴东高速公路建设指挥部 nt 9
巴克图口岸 nto 1
巴克莱银行 ntcb 5
巴勒斯坦外交使团 nt 1
巴勒斯坦政府 nt 3
巴勒斯坦民族权力机构 nt 4
巴勒斯坦立法委员会 nt 2
巴勒斯坦解放组织 nt 3
巴勒斯坦解放组织执行委员会 nt 1
巴厘岛五星级酒店 nt 1
巴厘岛办 nt 2
巴厘岛宝格丽酒店 nt 5
巴厘岛豪华酒店 nt 1
巴县界石区文化专 nt 1
巴基斯坦三军情报局 nto 4
巴基斯坦原子能委员会 nt 1
巴基斯坦处 nt 1
巴基斯坦安全部队 nt 1
巴基斯坦安全部队车队 nt 1
巴基斯坦援建核电站 nt 1
巴基斯坦政府 nt 7
巴基斯坦空军 nt 1
巴基斯坦能源部 nt 1
巴塞尔委员会 nt 13
巴塞尔银行监管委员会 nt 4
巴塞罗那太空科学研究所 nt 2
巴塞罗那队 nt 4
巴尔的摩美术馆 nt 21
巴山西路尧德酒店 nt 1
巴州人力资源服务中心 nt 1
巴州英才人力资源服务有限公司 nt 1
巴彦淖尔市筹备市两会 nt 1
巴彦淖尔政府 nt 1
巴斯大学 ntu 1
巴格达安全指挥中心 nt 1
巴楚监狱 nt 1
巴蜀书社 nt 1
巴蜀小学 nts 3
巴里坤县文物局 nt 3
巴里坤县泽菇农畜产品专业合作社 nt 1
巴里帕潘市区公所 nt 1
巴音郭楞调查队 nt 1
巴马瑶族自治县甲篆乡坡月村党支部 nt 1
市一医院 nt 6
市一医院放射科 nt 3
市一医院烧伤整形科 nt 1
市中心医院住院部 nt 1
市中心医院儿科 nt 2
市中心医院心脏大血管外科 nt 1
市中心医院神经外科 nt 1
市中心医院门诊 nt 1
市交通局 nt 11
市人大常委会 nt 466
市人大常委会代表人事工委 nt 1
市人大常委会党组 nt 8
市人大常委会委室 nt 2
市人大常委会法制办 nt 13
市人大常委会法工委 nt 2
市人大常委会财经办 nt 1
市人大常委会预算工委 nt 6
市人民法院 nt 12
市住建委 nt 32
市住建委施工安全处 nt 1
市供销社 nt 1
市供销社原党委 nt 1
市信访局 nt 9
市公安交通管理局 nt 1
市公安局 nt 108
市公安局交管局 nt 1
市公安局交警支队 nt 4
市公安局人口总队 nt 1
市公安局党委 nt 10
市公安局公交分局 nt 2
市公安局刑侦支队 nt 4
市公安局指挥中心 nt 7
市公安局新罗分局 nt 1
市公安局治安局户政处 nt 2
市公安局治安支队 nt 1
市公安局消防大队 nt 1
市公安局特警支队 nt 1
市公安局皇岗口岸分局 nt 2
市农业局 nt 4
市农科所 nt 1
市农科院党委 nt 1
市博物馆 nt 3
市博物馆考古部 nt 2
市发展改革委 nt 1
市发展改革委会同市教委 nt 1
市发改委 nt 124
市发改委交通处 nt 1
市发改委党组 nt 2
市发改委投资处 nt 2
市司法局 nt 37
市司法局原党委 nt 1
市司法局指挥中心 nt 5
市国税局 nto 14
市国税局征管处 nt 1
市地方税务局 nt 1
市地税局 nt 7
市场专业委员会 nt 1
市场开发部 nt 1
市场管理中心 nt 1
市外经贸局 nto 2
市妇儿医院儿科 nt 1
市妇幼保健院 nth 5
市委党校 nt 22
市委宣传部 nt 38
市委社会工委 nt 1
市委老干部局 nto 1
市委讲师团 nt 5
市安全生产监督管理局 nto 1
市审计局 nt 1
市工商局 nt 60
市工商局企业注册处 nt 1
市工商局公平交易执法局 nt 1
市工商联 nt 24
市工商联党组 nt 1
市总工会 nt 37
市总工会就业服务中心 nt 2
市政公用局 nto 1
市政工程管理处 nt 6
市政府法制办公室党组 nt 2
市政管委 nt 1
市政管理处 nt 1
市政设计院 nt 1
市教研室 nt 1
市文化局 nt 3
市文物局 nt 25
市旅游局 nto 23
市旅游局计财处 nt 1
市机关事务管理局 nto 5
市林业局 nt 10
市档案馆 nt 4
市气象台 nt 39
市水利局 nt 5
市消防支队 nt 5
市物价局 nt 20
市物价局价格举报中心 nt 1
市环保局 nt 100
市环保局大气处 nt 1
市环保局污染防治科 nt 1
市环保局高新分局 nt 1
市监察局 nt 23
市监察局举报中心 nt 2
市社会工作党委 nt 1
市社科联 nt 6
市社科联第一届委员会 nt 1
市社科院 nt 1
市科技局 nt 16
市第一人民医院分院 nt 1
市第一医院 nth 2
市第一医院儿科 nt 1
市第一医院急诊科 nt 1
市第三人民医院 nth 1
市第三医院门诊 nt 1
市第二医院 nth 3
市第二医院分院 nt 1
市第二医院口腔医院 nt 1
市红十字会 nt 39
市红十字会晨露爱心服务队 nt 1
市红十字会联合市慈善总会 nt 1
市纪律检查委员会 nt 1
市经信委 nt 14
市经信委党委 nt 2
市经信委党组 nt 1
市统计局 nt 12
市规划委 nt 26
市计生委 nt 12
市计生委政法处 nt 2
市财政局 nt 63
市财政局会同市教育局 nt 1
市财政局经济建设科 nt 1
市财政局绩效考评中心 nt 1
布什政府 nt 6
布吉医院 nt 3
布吉派出所 nt 3
布宜诺斯艾利斯省卫生部 nt 1
布尔津县建设局 nt 1
布拉格中央军事医院 nt 1
布拉格玩具博物馆 nt 1
布朗大学 ntu 3
布莱克本监狱 nt 9
布莱根妇女医院 nth 7
布达佩斯大饭店 nt 2
布里斯托大学 ntu 3
布里斯托尔市伊利沙白女王医学学校 nt 2
布雷西亚法院 nt 1
布鲁克大学 ntu 1
布鲁克林医院 nt 1
布鲁克林高等法庭 nt 1
布鲁金斯学会 nt 9
帆船酒店 ntch 14
师大图书馆 nt 2
希伯来大学 ntu 2
希姆基纳米实验室 nt 2
希尔顿逸林度假酒店 nt 2
希尔顿酒店 ntch 5
希尔顿饭店 ntch 1
希捷 ntc 6
希望公司 nt 3
希望医院 nth 5
希望小学 nts 14
希望村党支部 nt 1
希望集团 ntc 1
帕尔马法院 nt 4
帕米尔路派出所 nt 5
帝力市警察局 nt 12
帝国理工学院 nt 3
常山影剧院 nt 5
常平中学 nts 6
常熟政协 nt 2
常熟虞山尚湖旅游度假区商会 nt 1
常青技校 nt 1
常青第一学校 nt 1
常驻联合国代表团 nt 3
平壤产院 nt 1
平壤体育馆 nt 8
平壤友谊医院 nt 12
平壤善兴食品加工厂 nt 1
平壤广播电台 nt 3
平壤政府 nt 1
平壤机场 nt 1
平壤汉堡店 nt 2
平壤音乐舞蹈大学 ntu 4
平壤顺安机场 nt 1
平安人寿专 nt 2
平安人寿福建分公司 nt 3
平安保险会 nt 4
平安养老保险股份有限公司 ntc 1
平安国际金融中心 nt 2
平安幼儿园 nt 2
平安志愿者协会 nt 1
平安留院 nt 1
平安证券公司 nt 2
平安证券青岛营业部 nt 4
平安银行 ntcb 34
平安集团 ntc 4
平桂公安分局 nt 1
平武段垮方处 nt 1
平沟煤矿 nt 1
平湖法院 nt 2
平潭广播电视台 nt 1
平潭经济发展局 nt 1
平潭边防支队 nt 3
平煤长安能源开发有限公司 nt 4
平谷生态总部基地 nt 1
平谷通航机场 nt 2
平铺镇便民服务中心 nt 1
平面媒体中心 nt 1
年代集团 ntc 1
年夜饭餐厅 nt 1
幸福人寿保险股份有限公司 ntc 2
幸福航空 ntc 22
幸福航空公司 ntc 2
幸福航空控股有限公司 nt 2
幸福航空有限责任公司 ntc 1
幸福蓝海影视文化集团股份有限公司 nt 1
幸福路派出所 nto 4
广之旅市场推广中心 nt 1
广医附属第一医院 nt 1
广厦队 nt 2
广发重工集团 nt 1
广发银行 ntcb 10
广宁古水收费站 nt 1
广宗交警大队 nt 1
广宗鸿诚科技电脑专卖店 nt 1
广岛大学 ntu 1
广控集团 nt 5
广播电影电视局 nt 2
广播科学研究院 nt 1
广水大队 nt 1
广汇能源董事会 nt 1
广汇集团 nt 10
广汽乘用车公司 nt 2
广汽集团 ntc 2
广泰文化公益百馆 nt 3
广泰文化百馆 nt 2
广济医院 nt 10
广深铁路 ntc 1
广深铁路公司 ntc 16
广深铁路股份有限公司 ntc 20
广渠门中学 nts 2
广电传媒集团 nt 3
广电发射中心 nt 2
广电局党组 nt 3
广电总局 nto 139
广电总局党组 nt 2
广电总局办公厅 nt 2
广电总局印刷司 nt 1
广电总局宣传司 nt 1
广电总局电影局 nt 10
广电旅游局 nt 1
广电集团 nt 2
广都北站 nt 1
广铁集团 ntc 78
广铁集团公司 nt 2
广铁集团宣传部 nt 1
广铁集团紧盯站场 nt 1
广镇政府 nt 2
广雅中学 nts 1
广饶检察院 nt 3
广骏集团 nt 1
庄河边防大队 nt 1
庆云汇融经贸有限公司 nt 5
庆元养殖公司 nt 1
庆华集团 ntc 2
庆城社区党委 nt 1
庆林药店 nt 1
庆河派出所 nt 13
庐江中学 nts 1
庐江交警大队 nt 1
庐江法院 nt 1
庐江矿业 nt 1
庐江设站 nt 2
庐江通用机场 nt 1
库亚巴机场 nt 1
库尔勒市公安局 nto 1
库尔勒市旅游局 nt 1
库尔德地方自治政府 nt 1
库尔灵拍卖行 nt 2
库班国立大学新闻系 nt 1
应急管理办公室 nt 1
应流集团核能特种装备生产基地 nt 1
应用数学研究所 nt 3
底特律亨利福特医院 nt 1
底特律经济俱乐部 nt 1
底特律联邦法院 nt 1
店前镇党委 nt 1
店前镇综合文化站 nt 1
庙前派出所 nto 1
庙街镇中心校 nt 2
府场镇水利管理站 nt 1
府城中心小学 nt 4
府城医院 nt 1
府城朱云路黄记美食园处 nt 1
府城高登街格林商务酒店 nt 1
府谷镇关工委 nt 1
庞大集团 ntc 1
庞巴迪公司 ntc 1
废品收购站 nt 13
康乐医药门市部 nt 2
康乐研究组 nt 1
康佳 ntc 2
康复医院 nt 22
康奈尔大学 ntu 8
康奈尔大学威尔医学院 nt 3
康宁公司 ntc 1
康桥合唱团 nt 1
康桥工业基地 nt 1
康桥市民巡访团 nt 1
康桥戏曲沙龙 nt 1
康桥文化中心 nt 1
康桥舞蹈团 nt 1
康桥镇市民巡访团 nt 1
康桥镇志愿者协会 nt 1
康桥镇政府 nt 2
康桥镇老年协会 nt 1
康泰公司 nt 6
康泰旅行社 nt 3
康涅狄格大学 ntu 2
康涅狄格州桑迪克胡克小学 nt 1
康美药业 nt 7
康辉旅行社 nt 2
延庆乡政府 nt 1
延庆交通局 nt 2
延庆公路分局 nt 1
延庆环保法庭 nt 1
延运集团 nt 1
延运集团保卫处 nt 1
延运集团兴运公司 nt 1
延锋伟世通汽车饰件系统有限公司 ntc 1
延长石油集团 nt 11
延长石油集团公司 nt 2
延长集团 nt 5
建业俱乐部 nt 2
建业队 nt 5
建发集团 ntc 6
建国酒店 ntch 1
建国门六站 nt 1
建外派出所 nto 4
建安公司 nt 1
建川博物馆 nt 1
建新煤矿 nt 1
建新社区党委 nt 1
建材医院 nt 1
建湖城中派出所 nt 3
建湖电视台 nt 3
建瓯石狮村镇银行 ntcb 1
建行公交站 nt 1
建西村能源站 nt 1
建设村村委会 nt 8
建设部政策研究中心 nt 1
建设银行 ntcb 53
建设银行代办网上银行 nt 1
建设银行微信银行 nt 1
建设银行程监控中心 nt 1
建设镇人民法庭 nt 1
建设集团公司 nt 1
建设集团房地产开发公司 nt 3
建阳胜德大酒店 ntch 1
开元区委 nt 2
开元医院 nt 2
开元商场 nt 1
开元旅业集团 ntc 16
开元派出所 nt 1
开元街道社区卫生服务中心 nt 2
开元酒店 nt 8
开元集团 nt 5
开元鼎业大酒店 nt 1
开拓者队 nt 5
开放实验室 nt 1
开明工作室 nt 1
开普敦大学 ntu 1
开滦集团 ntc 2
开罗博物馆 nt 1
开罗警察学院 nt 1
弋江桥街道中建七局 nt 1
弋阳肉店 nt 1
弗利山高德温剧院 nt 1
弗利希尔顿酒店 nt 1
弗吉尼亚公立大学 nt 4
弗吉尼亚大学 ntu 1
弗吉尼亚州政府 nt 7
弗吉尼亚理工大学 ntu 2
弘益大学 ntu 1
张家山社区文化站 nt 1
张家港市外经委 nt 2
张家港市委 nt 2
张家港市政府 nto 2
张家港市江南汽车制造有限公司 nt 1
张家港法律援助中心 nt 1
张庄小学 nts 1
张村派出所 nto 2
张桥中学 nts 1
强生公司 ntc 44
当代中国出版社 nt 2
当代集团 nt 5
彩虹集团 ntc 1
彭博通讯社 nt 2
彭场镇宏盛生态农业养殖公司 nt 1
彭州南站 nt 3
彭州桂花镇敬老院 nt 1
彭水县人民法院 nt 1
彭水县走马乡走马中心校 nt 1
彭雪枫纪念馆 nt 1
彰化县消防局 nt 1
彰化溪湖警分局 nt 1
彰化高中 nt 1
影像诊断中心 nt 1
彼得堡大学数学物理系 nt 1
彼得森国际经济研究所 nt 1
徐家汇社区文化活动中心 nt 1
徐家汇街道科 nt 2
徐工集团 ntc 1
徐悲鸿纪念馆 nt 2
徐桥镇党委 nt 1
徐汇交警支队 nt 1
徐泾东站 nt 2
徐泾东路站 nt 1
徐泾派出所 nto 1
徐闻经济技术开发区管委会 nt 5
徕卡专卖店 nt 1
得克萨斯州农工大学 nt 1
得克萨斯州卢博克大学医疗中心 nt 1
得克萨斯州高中 nt 1
微型博物馆 nt 1
微生物研究所 nt 1
微电子有限公司 ntc 1
微软 ntc 206
微软亚太研发集团 ntc 1
微软全国广播公司 ntc 1
微软公司 ntc 12
德仲寺管委会 nt 1
德克萨斯大学 ntu 1
德公益基金会 nt 3
德力西电气（芜湖）有限公司 nt 1
德奥集团 nt 1
德意志银行 ntcb 12
德民畜禽养殖专业合作社 nt 1
德江职业学院 nt 1
德江酒楼 nt 6
德瑞生物技术有限公司 nt 1
德累斯顿爱乐乐团 nt 1
德邦物流 ntc 3
德邦物流公司 ntc 1
德邦物流沙集东风村营业部 nt 2
德隆制药公司 nt 1
德隆焦化有限责任公司 nt 1
德隆肿瘤药品有限公司 nt 1
德黑兰会 nt 1
德黑兰大学 ntu 2
德黑兰情报站 nt 1
徽商银行 ntcb 27
徽润农业合作社 nt 1
心理教研室 nt 2
心血管病医院 nth 2
心血管病医院吴阶平泌尿外科株洲中心 nt 5
心连心艺术团 nt 1
必胜客 ntc 2
志丹宾馆 nt 1
志强北园社区居委会 nt 1
忠南大学 ntu 1
忠良书院 nt 1
快捷酒店 ntch 7
快船队 nt 5
思源学校 nt 1
思源电气 ntc 1
思科 ntc 20
思科公司 ntc 4
怪村中心村党总支 nt 6
怪村中心村原党总支 nt 3
总会办公室 nt 1
总会秘书处 nt 1
总参作战部 nt 5
总参党委 nt 1
总参军事学院 nt 1
总参情报总局 nt 1
总参装备部 nt 2
总后勤部卫生部 nt 1
总后勤部基建营房部 nt 8
总后勤部财务结算中心 nt 1
总后勤部财务部 nt 5
总后卫生部 nt 2
总后基建营房部 nt 4
总政军管小组 nt 1
总政歌舞团 nt 4
总政治部纪律检查部 nt 3
总统图书馆 nt 2
总行-区域中心 nt 1
总行党委 nt 3
总行营业部 nt 1
总装备部科技委 nt 7
恒兴集团 nt 2
恒基地产 ntc 2
恒大俱乐部 nt 27
恒大俱乐部办公室 nt 3
恒大冰泉集团 nt 1
恒大北京公司 nt 2
恒大地产 nt 2
恒大女排 nt 33
恒大训练基地 nt 2
恒大足球队 nt 4
恒大队 nt 6
恒大集团 ntc 5
恒大集团董事会 nt 1
恒大集团董事局 nt 2
恒天然集团 ntc 2
恒惠 ntc 1
恒旭集团 nt 1
恒泰合作社 nt 1
恒源化工集团 nt 2
恒源机械有限公司 nt 1
恒源酒店 nt 3
恒生管理学院 nt 1
恒盛公司 nt 1
恒知艺术培训中心 nt 9
恩城镇政府 nt 4
恩平街道办事处 nt 2
悉尼公交协会 nt 1
悉尼国家歌剧院 nt 1
悉尼大学 ntu 1
悉尼大学音乐学院 nt 1
悉尼歌剧院 nt 10
悉尼男子高中 nt 1
悉尼科技大学 ntu 2
悉尼绿地中心 nt 2
悦华新物业服务有限公司 nt 1
悦海宾馆会议中心 nt 1
情人旅馆 nt 6
情报研究所 nt 1
惠农投资公司 nt 1
惠南镇党委 nt 2
惠南镇政府 nt 1
惠安三中 nt 1
惠安法院 nt 5
惠尔特（福州）净化科技有限公司 nt 2
惠普 ntc 23
惠普公司 ntc 5
惠森集团 nt 1
惠氏 ntc 13
惠民农资专业合作社 nt 3
感城镇民富加油站 nt 1
慈善医院 nth 6
慈善医院站 nt 1
慈溪实验高级中学 nts 1
慈溪法院 nt 1
慈溪电视台 nt 1
慈铭健康体检管理集团股份有限公司 nt 2
慎城镇党委 nt 2
慎城镇城关幼儿园 nt 1
慕尼黑交通运输公司 nt 3
慕尼黑地方法院 nt 1
戏曲研究院 nt 1
成均馆大学 ntu 7
成飞公司 nt 1
成飞医院 nth 2
我们学校 nt 64
战争学院 nt 2
战争纪念馆 nt 1
战史陈列馆 nt 1
战役军团 nt 3
战役指挥部 nt 4
战略研究中心 nt 12
戴姆勒公司 ntc 1
戴姆勒集团 ntc 12
戴尔 ntc 50
戴德梁行华北区研究部 nt 3
户县京畿黄酒文化开发研究院 nt 1
户县供电分公司 nt 1
户县博世 nt 1
户县国土资源局 nt 4
户县应急供水水源工程项目部 nt 1
户县惠安医院 nt 1
户县救助管理站 nt 3
户县疾控中心 nt 2
户县纪委 nt 2
户县纪委常委会 nt 1
户县综治委 nt 1
户县食品药品监督管理局 nt 1
房产经纪公司 ntc 1
房县北城工业园 nt 1
房地产交易中心 nt 1
房地产研究所 nt 6
房地产经纪公司 ntc 24
房地产经纪有限公司 ntc 24
房地产顾问有限公司 ntc 1
房山法院 nt 17
房山科技活动中心 nt 3
房山第一医院 nth 1
房山线稻田站 nt 1
房山线长阳站 nt 1
房车旅馆 nt 1
所城镇双语幼儿园 nt 2
手拉手公司 nt 1
手拉手河北民间公益联盟 nt 1
手拉手集团 nt 8
才溪乡调查纪念馆 nt 1
打狗英国领事馆 nt 1
托幼机构 nt 8
托普集团董事局 nt 2
托特纳姆热刺队 nt 2
执法监察局 nt 29
执法监察局宣传科 nt 1
执行董事会 nt 1
扬子中学 nts 1
扬子岛酒店 ntch 2
扬子投资大学 nt 1
扬子晚报专 nt 1
扬帆康复沙龙 nt 1
技术咨询公司 nt 1
技术培训中心 nt 3
技术开发总公司 nt 2
技术研发中心 nt 4
技术转移中心 nt 3
技能大师工作室 nt 5
投中集团 ntc 1
投洽会组委会 nt 1
抗日先遣队 nt 1
抗日战争纪念馆 nt 1
抗癌俱乐部 nt 2
抚市溪流域煤矿 nt 1
护国寺小吃店 nt 2
披头士乐队 nt 5
披头士博物馆 nt 3
拉各斯州消防总署 nt 1
拉斯维加斯会议中心 nt 2
拉斯维加斯机场 nt 1
拉斯维加斯金沙集团 ntc 4
拉瓦尔大学 ntu 2
拉美经委会 nt 1
招商地产 ntc 37
招商局地产控股股份有限公司 ntc 2
招商局集团 nt 1
招商局集团有限公司 ntc 1
招商证券研究发展中心 nt 2
招商银行 ntcb 35
招贤镇信用社 nt 1
拜仁慕尼黑队 nt 1
捷利公司 nt 1
捷安海南天涯骑驴俱乐部 nt 1
捷程公司 nt 1
捷顺通公司 nt 1
排市镇卫生院 nt 1
掘金队 nt 1
探月与航天工程中心 nt 5
探月与航天工程中心专家组 nt 1
接力出版社 nt 3
掸邦复兴委员会 nt 1
提升村（居）委会 nt 1
提名委员会 nt 1
提案委员会 nt 45
搜狐 ntc 103
搜狗公司 nt 2
摄影家协会 nt 7
摩尔曼斯克北海航线信息处 nt 2
摩尼镇党委 nt 1
摩托罗拉 ntc 38
摩托罗拉移动 ntc 3
摩托罗拉移动公司 nt 1
摩斯汉堡 ntc 2
摩根公司 nt 2
摩根大通公司 ntc 1
摩根大通集团 nt 2
支付宝公司 nt 18
支行办公室 nt 1
支部委员会 nto 2
攻壳机动队 nt 1
政协专门委员会 nt 8
政协会务组 nt 2
政协全国委员会 nt 9
政协全国委员会党组 nt 3
政协全国委员会办公厅 nt 6
政协办公厅 nt 1
政协北京市委员会 nt 5
政协厦门市委员会 nt 1
政协厦门市委员会常务委员会 nt 2
政协吐鲁番地区工委 nt 1
政协和田地区工委 nt 1
政协喀什地区工委 nt 1
政协四川省委员会 nt 1
政协四川省常务委员会 nt 3
政协太仓市委员会 nt 2
政协委员会 nt 4
政协常务委员会 nt 5
政协常委会 nt 19
政协海南省委员会办公厅 nt 3
政协湖北省委员会 nt 4
政协湖北省委员会专门委员会 nt 1
政协福建省龙岩市党组 nt 1
政协筹委会 nt 1
政协西安市委员会 nt 1
政协西安市常委会 nt 1
政协阿克苏地区工委 nt 1
政协陕西省委员会 nt 4
故宫博物院 nt 149
故宫博物院院 nt 1
故宫博物馆 nt 2
故宫珍宝馆 nt 7
故宫设计院 nt 1
教师进修学校党支部 nt 2
教科文卫委 nt 2
教科文卫委员会 nt 7
教科文卫委员会办公室 nt 1
教科文卫工委 nt 2
教科文组织 nt 2
教育考试院监察处 nt 1
教育部专家组 nt 1
教育部体卫艺司 nt 4
教育部体育卫生与艺术教育司 nt 10
教育部体艺卫司 nt 1
教育部党组 nt 17
教育部办公厅 nt 2
教育部国家教育研究院 nt 6
教育部国际合作与交流司 nt 1
教育部基础教育二司 nt 2
教育部教师司 nt 1
教育部教师工作司 nt 1
教育部教育发展研究中心 nt 3
教育部新闻办 nt 1
教育部留学服务中心 nt 9
教育部直属师范大学 nt 2
教育部科学技术委员会 nt 1
教育部考试中心 nt 3
教育部职成司 nt 1
教育部语言文字应用管理司 nt 1
教育部高教司 nt 2
敦煌石窟文物保护研究陈列中心 nt 1
敦煌研究院 nt 16
敦煌研究院院 nt 1
文华酒店 nt 1
文博园林改展览馆 nt 1
文安社区居委会 nt 1
文峰镇党委 nt 1
文布当桑乡光伏电站 nt 1
文昌中学 nts 1
文昌发射中心 nt 2
文昌法院 nt 2
文汇中学 nts 2
文汇小学 nt 2
文汇报特刊部 nt 2
文澜学院 nt 2
文达书画院 nt 6
文锦渡动物检查站 nt 1
文锦渡海关 nto 1
斗山集团 ntc 1
斯伦贝谢公司 ntc 1
斯卡拉歌剧院 nt 2
斯台普斯中心 nt 2
斯坦利营 nt 3
斯坦福大学 ntu 27
斯巴鲁 ntc 15
斯德哥尔摩国际和平研究所 nt 2
斯旺西队 nt 3
斯洛伐克内务部 nt 14
斯洛文尼亚驻华大使馆 nt 1
斯里兰卡政府 nt 2
新三村物业公司 nt 2
新世界出版社 nt 3
新世纪出版社 nt 1
新世纪大酒店 ntch 1
新东方北京学校 nt 1
新东方厨校 nt 2
新东方董事会 nt 1
新东方集团 ntc 2
新中农场南林分场 nt 1
新乐实验小学 nt 1
新京报深度报道部 nt 1
新京报社 nt 1
新京报讯（记者蒋彦鑫）海淀区人代会 nt 1
新京报讯（记者钟晶晶）发改委 nt 1
新京报讯（记者马力）丰台区两会 nt 1
新光戏院 nt 1
新兴中学 nts 1
新兴农场 nt 21
新兴商会 nt 2
新兴资本集团 nt 1
新兴金融创业园 nt 1
新兴镇政府 nt 5
新兴镇政府办公室 nt 1
新兴镇派出所 nto 2
新兴集团 nt 1
新北市卫生局 nt 1
新北市政府交通局 nt 5
新北市泰山高中 nt 3
新区总工会 nt 4
新区管委会 nto 8
新华上海贵金属交易中心 nt 3
新华书店 nt 23
新华书店会 nt 1
新华书店营销策划部 nt 4
新华保险后援中心 nt 1
新华信托股份有限公司 ntc 1
新华出版社 nt 2
新华医院 nth 8
新华学校 nt 1
新华日报社 nt 1
新华每日电讯社 nt 1
新华社 nt 1675
新华社全球记者站 nt 1
新华社对外部 nt 6
新华社摄影部 nt 1
新华社电一场 nt 1
新华社电上海市卫生计生委 nt 1
新华社电国家卫生计生委 nt 2
新华社电国家卫计委 nt 2
新华社电广东省清远市清城区政府 nt 2
新华社电泰国政府 nt 1
新华社电环保部 nt 2
新华社电瑞士通讯社 nt 1
新华社电经最高人民法院 nt 2
新华社电香港警务处 nt 2
新华社经济信息编辑部 nt 1
新华社金融信息交易所 nt 1
新华社香港分社 nt 1
新华联集团 ntc 7
新华联集团董事局 nt 1
新华色织厂 nt 1
新华通讯社 nto 1
新华都华林店 nt 1
新南威尔士大学 ntu 8
新发地农产品批发市场 nt 4
新发地农贸批发市场 nt 1
新发地市场统计部 nt 1
新发地批发市场 nt 3
新发地高碑店 nt 2
新发镇敬老院 nt 1
新四军军部旧址纪念馆 nt 1
新四军第一支队 nt 2
新园派出所 nto 1
新坡镇光荣村委会 nt 1
新城公共服务中心 nt 2
新城公安分局公园北路派出所 nt 2
新城分局户政大队 nt 1
新城医院 nth 1
新城大队 nt 25
新城建设指挥部办公室 nt 1
新城村东门组 nt 2
新城污水处理厂 nt 1
新城派出所 nto 1
新城销售部 nt 1
新城镇雅岗砖厂 nt 4
新塘镇城监中队 nt 1
新塘镇大敦村党支部 nt 2
新大陆科技集团 nt 1
新奥燃气加气站 nt 1
新安劳动教养所 nt 8
新安劳教所 nt 4
新安江宾馆 nt 4
新宾县人民医院 nt 1
新州中学 nts 1
新州公平交易厅 nt 1
新州水厂 nt 5
新州自来水厂 nt 2
新州镇中心学校 nt 1
新市派出所 nto 2
新市镇法律援助工作站 nt 2
新希望集团 ntc 2
新店中学 nts 1
新店中心幼儿园 nt 1
新店军事监狱 nt 4
新店镇党委 nt 1
新建一中 nt 1
新建中学 nts 1
新建小学 nts 2
新建派出所 nto 3
新建社区蔬菜便民店 nt 2
新德里使馆 nt 3
新德里电视台 nt 2
新探健康发展研究中心 nt 4
新时代商城 nt 1
新星出版社 nt 2
新星礼花厂 nt 1
新景小学 nts 3
新村委会 nt 1
新村幼儿园 nt 4
新村电力技校 nt 1
新桥医院 nth 4
新桥医院心血管外科 nt 4
新桥医院急诊科 nt 1
新桥医院消化内科 nt 1
新桥医院神经内科 nt 5
新桥村村委会 nto 1
新桥派出所 nto 6
新民村村民小组 nt 1
新民派出所 nto 4
新津南站 nt 1
新洲国际集团 ntc 2
新洲涨渡湖渔场 nt 1
新洲粮食畜牧厂 nt 1
新浦社区居委会 nt 1
新浪 ntc 313
新浪网新闻中心 nt 1
新港航运中心 nt 2
新港镇政府 nt 1
新湖农场 nt 2
新湖农场党委 nt 2
新湖农场新晨国有资产经营投资有限责任公司 nt 1
新源监狱 nt 1
新画面影业公司 ntc 1
新知三联书店 nt 4
新礤村党支部 nt 1
新礤村新宝茶厂 nt 1
新罕布什尔大学 ntu 1
新罕布什尔州圣安塞尔姆学院 nt 1
新英格兰媒体公司 nt 1
新英格兰媒体集团 nt 2
新英格兰研究所 nt 1
新荣村客运站 nt 1
新葡京酒店 ntch 4
新街口五台山北站 nt 2
新街口国际金融中心 nt 3
新街口少年宫 nt 1
新街口街道社区服务中心 nt 1
新西伯利亚法学院 nt 4
新西伯利亚法律研究所 nt 1
新都一中 nt 1
